Dataset,Method,Seed,ARI,NMI,AMI,Homogeneity,V-measure,Silhouette
Mouse_Brain_E11_S1,Method 1,1892,0.3460932271189794,0.48134879007829384,0.47556740632659156,0.5687161628094922,0.4813487900782938,0.12075023987821522
Mouse_Brain_E11_S1,Method 1,1173,0.33436728551037437,0.4752600775548684,0.46941735478661684,0.5625735711948203,0.4752600775548684,0.12007674904455658
Mouse_Brain_E11_S1,Method 1,69,0.32056028675621345,0.4724292632840125,0.46654967378251294,0.5585325873101519,0.4724292632840125,0.12172486601754119
Mouse_Brain_E11_S1,Method 1,2024,0.320727416749419,0.47281074269850903,0.4669844680236565,0.565854550368625,0.4728107426985091,0.11532536271770433
Mouse_Brain_E11_S1,Method 1,231,0.33802720975212464,0.47423304968995084,0.4683681781383074,0.559673315362472,0.4742330496899508,0.1260791899934429
Mouse_Brain_E11_S1,Method 1,1971,0.3405913136628467,0.47345626167303423,0.46759915273370983,0.561610398305238,0.4734562616730342,0.12446248879723332
Mouse_Brain_E11_S1,Method 1,2497,0.34011961171296357,0.4772415828561287,0.4714286888822315,0.5663402639416826,0.4772415828561287,0.12195585632101143
Mouse_Brain_E11_S1,Method 1,338,0.30884431251271616,0.47116021421662635,0.4653058593395492,0.5625881306754494,0.47116021421662635,0.11524522721920652
Mouse_Brain_E11_S1,Method 1,3127,0.31686197733517374,0.46560256912312775,0.4596535403020876,0.5515566295470552,0.4656025691231278,0.12022176968765196
Mouse_Brain_E11_S1,Method 1,2001,0.32809537280129936,0.4706233056735061,0.4647281491768447,0.5572462848132942,0.4706233056735061,0.12369992550836527
Mouse_Brain_E11_S1,Method 1,2022,0.30549099887680675,0.45367698632585274,0.44764792554790955,0.5440108340914956,0.45367698632585274,0.11810147449971373
Mouse_Brain_E11_S1,Method 1,574,0.3415494811773498,0.47160866307731175,0.46571978721696494,0.5575125262314572,0.4716086630773117,0.12570233460433228
Mouse_Brain_E11_S1,Method 1,2428,0.34871572818479674,0.48335974647176744,0.4776029210432378,0.5715241884206185,0.4833597464717675,0.12425098044553318
Mouse_Brain_E11_S1,Method 1,999,0.3360749404940022,0.47316498924162365,0.4672998763594851,0.5604008527006795,0.4731649892416236,0.12461313551353846
Mouse_Brain_E11_S1,Method 1,1187,0.33385644433224837,0.4727396929612378,0.46686614781261565,0.5593266711166082,0.47273969296123775,0.12434361954040514
Mouse_Brain_E11_S1,Method 1,42,0.30413729407454315,0.4653475280244962,0.4594214971476022,0.5548280256679022,0.4653475280244962,0.11926705176239083
Mouse_Brain_E11_S1,Method 1,3999,0.3332921991205231,0.4691178699309967,0.46321220138664737,0.5562995963587369,0.46911786993099663,0.12261101350914401
Mouse_Brain_E11_S1,Method 2,13,0.2914093037826727,0.4336409971610079,0.4273922056602307,0.5205953769732484,0.4336409971610079,0.10479845684395378
Mouse_Brain_E11_S1,Method 2,2560,0.3098826266575356,0.4680577393037135,0.462109216110649,0.5507838632630576,0.4680577393037135,0.12297183346537091
Mouse_Brain_E11_S1,Method 2,641,0.33364023908624596,0.46799673263390346,0.46207195751211005,0.5539305122676308,0.46799673263390346,0.12853429189403415
Mouse_Brain_E11_S1,Method 2,1892,0.3380553032897679,0.4681175722509454,0.4621899528138643,0.5534420412526286,0.4681175722509454,0.11579411158787188
Mouse_Brain_E11_S1,Method 2,1173,0.31257362603455024,0.4691823132080402,0.4632590484556218,0.5537084871556379,0.46918231320804016,0.1250546746807672
Mouse_Brain_E11_S1,Method 2,69,0.32152086893285964,0.46570945646568435,0.4597594782772027,0.5514075915494305,0.4657094564656843,0.124094406882165
Mouse_Brain_E11_S1,Method 2,2024,0.3310540552791622,0.47050027867164645,0.46460195540267835,0.5568472342029352,0.47050027867164645,0.12876870820447453
Mouse_Brain_E11_S1,Method 2,231,0.30830585643666203,0.465473384820398,0.45950420840929895,0.5490001207646718,0.465473384820398,0.12359604832610942
Mouse_Brain_E11_S1,Method 2,1971,0.30749083723486,0.4669563304604703,0.4609930369539914,0.5492094130736979,0.46695633046047025,0.12096699341434479
Mouse_Brain_E11_S1,Method 2,2497,0.3082656949417702,0.4626920432369977,0.45668546295487356,0.5446821797334277,0.4626920432369977,0.12415736794053853
Mouse_Brain_E11_S1,Method 2,338,0.3058175827104385,0.464419339026804,0.4584886025804747,0.5543186475683144,0.464419339026804,0.12077600598195447
Mouse_Brain_E11_S1,Method 2,3127,0.3141390586578478,0.46376129316170595,0.4577683924728954,0.5466311897433305,0.463761293161706,0.12482593178848529
Mouse_Brain_E11_S1,Method 2,2001,0.34263580887026757,0.47091526987379767,0.4650166028442881,0.5563762760477644,0.47091526987379767,0.12812356317267312
Mouse_Brain_E11_S1,Method 2,2022,0.30924662026898025,0.46765589373305433,0.461715472002322,0.5519966984819035,0.4676558937330544,0.12224075142508703
Mouse_Brain_E11_S1,Method 2,574,0.3108110575310677,0.4681540334416405,0.46219846141691723,0.5496388431343848,0.46815403344164047,0.12533858664908548
Mouse_Brain_E11_S1,Method 2,2428,0.30772744400031005,0.4691155976562807,0.463247122354031,0.5613129851372451,0.46911559765628075,0.11901241720896073
Mouse_Brain_E11_S1,Method 2,999,0.31517674245828214,0.4638576143658473,0.4578814985808641,0.5483662918409485,0.4638576143658473,0.1239131245749345
Mouse_Brain_E11_S1,Method 2,1187,0.31173967029201927,0.46857433439383195,0.46264142712986195,0.5525238874284061,0.46857433439383195,0.12220702800433854
Mouse_Brain_E11_S1,Method 2,42,0.3048802473353862,0.46578581363477384,0.4598647892298871,0.555318513589287,0.4657858136347739,0.11912618199508486
Mouse_Brain_E11_S1,Method 2,3999,0.3101809674009773,0.46057029923674725,0.454587944633254,0.5489283570157432,0.46057029923674725,0.12182245206331499
Mouse_Brain_E11_S1,Method 3,13,0.38796277886363845,0.5289182330864833,0.5237109522548029,0.6333600126687614,0.5289182330864833,0.02088845534949088
Mouse_Brain_E11_S1,Method 3,2560,0.45783447260843024,0.5329583200778644,0.5277064608661494,0.6236690818736363,0.5329583200778645,0.008092016472012391
Mouse_Brain_E11_S1,Method 3,641,0.32679861107990915,0.4793960615387298,0.4736611886578226,0.5773055521778485,0.4793960615387298,0.012845663838534072
Mouse_Brain_E11_S1,Method 3,1892,0.39296132390363125,0.5125058859829091,0.5071217856009165,0.6149804352487986,0.5125058859829091,0.014165547065994549
Mouse_Brain_E11_S1,Method 3,1173,0.36595309876557347,0.4920882599246918,0.48644742161945154,0.5855451749626096,0.4920882599246917,0.012660147980743008
Mouse_Brain_E11_S1,Method 3,69,0.3145828236990156,0.47299602517416944,0.4671645890207665,0.5660920236846174,0.47299602517416944,0.014529555521219687
Mouse_Brain_E11_S1,Method 3,2024,0.38197003871157803,0.5258044592172999,0.5205755076901523,0.6319781441696594,0.5258044592172999,0.018817837585841497
Mouse_Brain_E11_S1,Method 3,231,0.396675733268163,0.5260991117525521,0.520872341074153,0.6322892702090003,0.5260991117525521,0.02178798647337106
Mouse_Brain_E11_S1,Method 3,1971,0.4094938988249355,0.5212145477843232,0.5159190381585939,0.6240862834674238,0.5212145477843232,0.016623131195873546
Mouse_Brain_E11_S1,Method 3,2497,0.347023081075657,0.5040480823614307,0.4985834278929837,0.6067905941331133,0.5040480823614308,0.012428487800919581
Mouse_Brain_E11_S1,Method 3,338,0.41612721976801376,0.5371632787926804,0.5320093208377389,0.6368247802646207,0.5371632787926803,0.02127349353901096
Mouse_Brain_E11_S1,Method 3,3127,0.4145151709556944,0.5149151871882126,0.5095559828271964,0.6175729044540561,0.5149151871882125,0.01750939022020098
Mouse_Brain_E11_S1,Method 3,2001,0.3938851020656054,0.5279128673042464,0.5227118221171126,0.6355874122154013,0.5279128673042462,0.01887484644872615
Mouse_Brain_E11_S1,Method 3,2022,0.42663149689541807,0.5408797183311616,0.5357588723351344,0.6397295760534255,0.5408797183311617,0.014944410397246985
Mouse_Brain_E11_S1,Method 3,574,0.457603810856014,0.528878163265276,0.5235923582347503,0.6191924784098921,0.5288781632652761,0.008707926205690192
Mouse_Brain_E11_S1,Method 3,2428,0.3794774135495728,0.5218009200141819,0.516541805264525,0.629792005734963,0.5218009200141819,0.014791044626567527
Mouse_Brain_E11_S1,Method 3,999,0.3586179400460798,0.5111912539274728,0.5058276330033461,0.6188686549570683,0.5111912539274728,0.017457287272797637
Mouse_Brain_E11_S1,Method 3,1187,0.33949066816749146,0.4980168864032508,0.49245583490752487,0.5945097648819252,0.49801688640325087,0.01580500208634005
Mouse_Brain_E11_S1,Method 3,42,0.32374375559526014,0.49018765466019115,0.48458430469274216,0.5921052974647465,0.49018765466019115,0.012096348429526326
Mouse_Brain_E11_S1,Method 3,3999,0.3856278374958001,0.5432283589143603,0.5381687726123824,0.6484800735973969,0.5432283589143603,0.02115976129401829
Mouse_Brain_E13_S1,Method 1,13,0.09264292303359495,0.23392556143403348,0.22141941976418,0.29010896569328376,0.23392556143403348,0.037301624267366405
Mouse_Brain_E13_S1,Method 1,2560,0.09263848289745151,0.2486663090293989,0.2363218890928092,0.3052366488514642,0.2486663090293989,0.03581193101750997
